date,kop_p10,kop_p50,kop_p90
2025-01-28,1674.3136377367282,2002.9751445402821,2440.9731570205163
2025-01-29,1573.8935009714828,1932.7976051042751,2301.1663478429855
2025-01-30,1641.52121286693,1974.3859157657298,2394.634213711781
2025-01-31,1549.547722572931,1896.0692887321986,2249.1700021309866
2025-02-01,1354.7220646571818,1707.1759241212362,2141.6853973793645
2025-02-03,1357.6960347426184,1742.2812181486775,2146.434357401203
2025-02-04,1472.9752954800174,1895.7049639926424,2331.554262337696
2025-02-05,1572.5456312104352,2060.82151002966,2430.523938961598
2025-02-06,1508.2797874163034,1923.850077808921,2400.6406002983754
2025-02-07,1556.6882847292404,1922.8137858132661,2446.0689002099025
2025-02-08,1589.8257444353364,1964.3962275305487,2518.2258990427413
2025-02-12,1688.3267917615642,2180.5509339054943,2763.6144641475344
2025-02-13,1854.7010560607778,2355.356468901868,2948.3172052631808
2025-02-14,2082.882924835703,2636.0787894669866,3137.0435152561436
2025-02-15,2019.5171681651636,2653.982516522159,3071.916215600867
2025-02-17,1773.0535507315433,2346.756464652849,2750.8540136678303
2025-02-18,1739.547904028086,2265.48056599883,2621.627201047638
2025-02-19,1617.3326803009118,2022.4505513011009,2414.381136169842
2025-02-20,1557.624640993136,1899.279935129876,2314.1872672766417
2025-02-21,1515.0142182228558,1962.9832600481823,2393.344066541171
2025-02-22,1553.388000519556,1964.5888788959624,2512.907994533148
2025-02-24,1577.3687913133629,1997.9871879750694,2450.6623227865525
2025-02-25,1573.0534896601139,1982.342481272047,2464.886734519114
2025-02-27,1557.9109216378763,1936.1837216095507,2439.947015356824
2025-02-28,1474.6681321109327,1971.2682897458742,2309.679612684566
2025-03-01,1268.5666884942066,1389.4013378096918,2158.4961042220834
2025-03-03,1261.80904570569,1371.9825472039188,2116.886516884569
2025-03-04,1211.1293474500942,1220.3204706889487,2028.0458524684934
2025-03-05,1260.6804219775747,1290.8188355022055,2130.4098983981908
2025-03-06,1297.2276309004294,1291.9353840932988,2122.8929079862346
2025-03-07,1331.2585176405157,1315.2477283258474,2112.270240065588
2025-03-08,1136.9465953900863,1065.5156769384748,1874.9188962230405
2025-03-10,973.7677887511624,968.5872251290622,1573.0741953767865
2025-03-11,949.7500652157064,1067.5182530451416,1600.7715882403404
2025-03-12,798.1130408719946,921.6080996896368,1450.5186798865725
2025-03-17,720.8821588901941,824.8914123573909,1286.558912167569
2025-03-18,810.2011921874158,854.1847196070462,1417.820421411486
2025-03-20,705.2477192389199,723.6108419401696,1225.8307734926666
2025-03-21,764.6764386144788,792.5781277465144,1142.6839329304084
2025-03-22,699.9356965166861,758.3223663508026,1100.0388826234528
2025-03-24,805.6448809794445,882.9594731073755,1281.7442566063157
2025-03-25,826.2488441859311,797.9693546799534,1253.4240306455215
2025-03-26,812.3896018626965,805.2574283181,1243.2056420634706
2025-03-27,799.2283566734828,785.9532713961892,1204.15976578209
2025-04-02,820.2226496072935,901.5759433541008,1073.3008817056416
2025-04-03,836.8470004031624,974.7947386735598,1144.8943258504637
2025-04-04,842.0120680479326,942.1388693376603,1196.0748140480541
2025-04-07,814.3501065240034,931.4208495716617,1158.5227873719125
2025-04-08,764.3946777734602,930.024564247731,1124.7095063222232
2025-04-09,745.6725608922322,905.6523284410091,1084.6490546591745
2025-04-11,689.2536366864246,814.7550432028431,971.9252887529341
2025-04-12,532.9102440256546,645.3781972405895,809.2892442275953
2025-04-14,885.0811195586949,1084.9335471287293,1397.7053971709693
2025-04-15,849.1281992170889,1026.1705619202023,1348.52882459498
2025-04-16,979.3773727708185,1085.5881697857728,1395.7353599968246
2025-04-17,899.1970593228574,1062.700237359205,1415.5643184227467
2025-04-18,900.6409553844258,1098.396881885533,1418.8680439078908
2025-04-19,863.1253285152491,1049.4880837754845,1462.0609161432217
2025-04-21,937.9571743422516,1134.3990113742716,1557.1661401517988
2025-04-22,852.3208168047258,1139.3232710742234,1458.7479679763499
2025-04-23,861.385290658114,1146.9833432027467,1469.1346015205045
2025-04-24,811.1726575134506,1027.9667531696175,1334.8511323686107
2025-04-25,898.9580803556989,1084.330243643079,1353.0232903576525
2025-04-26,889.6277507936677,1048.006886438611,1311.454366928662
2025-04-28,840.6938068985522,1019.2592093245546,1270.4308813619457
2025-04-29,830.59986411307,1038.639438833168,1246.7258358352951
2025-04-30,822.4904625715218,1040.6351729186704,1224.7309206651255
2025-05-02,911.3864445060851,1008.428801917754,1188.3548861870518
2025-05-03,946.3396763995846,1051.75697125724,1234.9660123189956
2025-05-05,930.3647295376263,1034.157299034737,1208.2738520357773
2025-05-06,872.2496743630475,946.1333720639202,1168.1505232441505
2025-05-07,879.7399143343093,960.2140402236313,1143.5778605121272
2025-05-08,842.7848998948155,944.27843218805,1119.4591414501979
2025-05-09,896.592864062648,1002.7011270330265,1207.9799649442098
2025-05-10,909.8601410897796,1027.745040934862,1225.795655278974
2025-05-12,913.4914418852289,1034.5518372086194,1215.188854187674
2025-05-15,889.107871441369,981.4447053258331,1160.3339304877306
2025-05-16,946.7169081361865,1040.7236188996424,1274.998711506903
2025-05-17,980.7591225322635,1066.7007750953655,1267.6527109432707
2025-05-19,920.327122148536,1034.9676823118734,1223.0962831551078
2025-05-20,930.7018562516712,1031.5290920449831,1251.995305825007
2025-05-21,937.8875926922533,1038.0105274454777,1271.0373472202482
2025-05-22,938.4409571181841,986.8714576581708,1289.7118583709346
2025-05-23,925.1141503353167,963.2500602006623,1273.0618157025074
2025-05-24,931.0798301338195,995.1877770365044,1133.716990408968
2025-05-26,908.4973792865738,1000.1501625898325,1132.13474581275
2025-05-27,1044.9269816702729,1140.1646726986908,1281.5458050250477
2025-05-28,1107.2951240834634,1189.3049982676184,1418.1774615208722
2025-05-29,1133.4666892228306,1237.3110405943326,1437.1419872405618
2025-05-30,1136.473156123595,1237.1192266237078,1442.414902175302
2025-05-31,1121.881173161582,1217.23793017317,1424.1240828822843
2025-06-02,1074.5596194146399,1182.9325881318102,1344.2840517175102
2025-06-03,1129.7304837156569,1208.7191998286892,1443.1916131656267
2025-06-04,1108.6934111810779,1212.9361873852793,1434.1259067924696
2025-06-05,1138.1582769973547,1297.8054881959822,1464.5218511071503
2025-06-06,1191.4253884297073,1348.0138521939973,1613.0293759764465
2025-06-07,1174.81891893464,1325.0914391256492,1529.761470493818
2025-06-09,1273.7120951452291,1453.5403485369557,1678.588485540913
2025-06-10,1289.1486597626438,1435.8718818785064,1783.9194403113995
2025-06-11,1309.3240475385655,1455.7915074782363,1788.778161213507
2025-06-12,1294.6746371871798,1396.219398465022,1682.4819354552085
2025-06-13,1297.8527301889114,1400.476642771604,1706.627850159391
2025-06-14,1299.0490810966564,1407.8177611661315,1708.3463000709105
2025-06-16,1257.5623733609655,1405.9658076241874,1696.753637300827
2025-06-17,1261.799834261062,1395.5204298247988,1615.5380789587364
2025-06-18,1203.8399529629787,1331.6354327134625,1534.747122171585
2025-06-19,1274.1763526384723,1379.3228083619965,1593.029390778682
2025-06-20,1227.3597912746523,1348.7991135971101,1568.4541290001837
2025-06-21,1247.8564717487875,1373.067950378603,1719.5876828207809
2025-06-23,1237.1205355078926,1387.3972490146473,1749.2804263378537
2025-06-24,1297.9977799250655,1425.2223318665108,1802.864586509635
2025-06-25,1241.9148096356919,1385.5220629280084,1638.8082342201399
2025-06-26,1249.6903404968025,1407.9911424906204,1684.7912732878563
2025-06-27,1211.7629497212943,1359.710268877195,1653.5992017674855
2025-06-28,1252.5638814016136,1439.5599108263712,1684.2573214057247
2025-06-30,1222.1272277695325,1426.810636373156,1661.7470431500406
2025-07-01,1211.3802319891433,1352.8496302307362,1606.0366195057052
2025-07-02,1190.8360927751855,1305.5968523200136,1523.7296993755565
2025-07-03,1203.3457206629075,1299.4618828795494,1623.7536716404331
2025-07-04,1211.963748558172,1314.7536142344043,1582.4403196717717
2025-07-05,1244.871373519023,1337.3437913330752,1538.1573756766818
2025-07-07,1174.0199783322444,1299.5826389147476,1510.0894821316956
2025-07-08,1182.9014131431636,1286.4088210850257,1502.0211359252808
2025-07-09,1165.7507937678888,1306.7805111871096,1494.10270311393
2025-07-10,1147.4880560101917,1283.911679220239,1357.1713961323676
2025-07-11,1244.0821268490108,1360.6262663509058,1413.5984881129793
2025-07-12,1153.5302523447988,1244.799501716096,1559.2911929630855
2025-07-14,1140.9416721000596,1287.4222009765538,1508.9389942650128
2025-07-15,1159.705255753514,1292.6780938031632,1706.4977179922819
2025-07-16,1199.1255975646602,1330.6284763797921,1751.8018288435312
2025-07-17,1125.3737808999242,1241.7970598860468,1634.0190564647314
2025-07-18,1119.5217420884612,1239.1919194566226,1560.6092284136403
2025-07-19,1075.808073766057,1193.6591319387423,1532.8740111238858
2025-07-21,1113.8220608533077,1261.7299971454956,1553.3108952792293
2025-07-22,1151.2031300538847,1284.3663505849458,1519.2087852676932
2025-07-23,1111.678214849528,1239.1116936875542,1519.8249227420995
2025-07-24,1132.2522008314518,1228.4001020691653,1453.0157976047678
2025-07-25,1074.0427223233926,1163.410140078353,1388.6742631994177
2025-07-28,992.8473234421474,1093.9798654592043,1312.5220704946446
2025-07-29,1028.8337088061455,1120.2610515600836,1354.8011295022206
2025-07-30,1046.985805490886,1115.4729527505665,1423.3227710277197
2025-07-31,1012.2848780834352,1075.512507887779,1378.7586058092304
2025-08-01,1048.132646133848,1157.171979542377,1452.5175821086068
2025-08-02,1063.2090374119946,1166.6201145288505,1477.8746692234608
2025-08-04,999.9604394271673,1129.0237622586794,1365.5554387423376
2025-08-05,992.5245230507365,1131.5030455054457,1360.799503974796
2025-08-06,1054.7811613845433,1180.9013441253035,1433.2022261204102
2025-08-07,1063.8899337612308,1177.0503171844234,1453.7287424455774
2025-08-11,1058.0478417580757,1193.9132567058887,1518.5481530561408
2025-08-12,1211.2398405992185,1342.5791542826073,1713.003965604317
2025-08-13,1368.3910729298198,1518.2278195966048,1902.9854464419745
2025-08-14,1295.3238538939927,1510.149269446349,1877.9266084325327
2025-08-16,1266.7315163644134,1512.3547141448446,1924.3355634162115
2025-08-18,1301.8816130057257,1598.8325915251514,1996.535561439099
2025-08-19,1318.5855053131108,1600.1755727718428,1836.6303499158576
2025-08-25,1221.952361648029,1508.9481559224,1756.8836996616783
2025-08-26,1206.808626360127,1446.2347813266877,1685.7533718452462
2025-08-28,1112.705439761529,1375.675991387212,1581.1598841418058
2025-08-30,1101.2128705904781,1290.7603601405401,1489.3245088903595
2025-09-01,1056.5349899830057,1337.117710606507,1519.7347022307613
2025-09-02,1073.2970876921838,1369.780950853387,1640.1585549307513
2025-09-03,1065.8476346295822,1299.808529349934,1589.4429882314575
2025-09-04,1093.0742876228264,1296.8616838236785,1556.9160573123672
2025-09-06,1019.479862102405,1256.7176263064173,1493.7097975396512
2025-09-08,998.7554426067438,1242.544500149003,1479.902051732565
2025-09-09,1045.494752225514,1290.3918503004106,1548.2233100310802
2025-09-10,992.6548634939397,1201.0384765048482,1519.5976497741078
2025-09-11,952.8101426107836,1149.9650285407406,1390.107250840877
2025-09-13,637.0373702155349,764.8873222020475,927.5391534490341
2025-09-15,999.7628885871062,1193.0078567645946,1474.0892770585874
2025-09-16,896.8057208956478,1119.2876304243418,1381.4866091154538
2025-09-17,962.6928690652527,1203.6070501681434,1453.9332327824188
2025-09-18,913.0207485935242,1132.4383527818648,1384.517053656608
2025-09-19,865.2620821697101,1058.558723177592,1292.492690638628
2025-09-20,865.9290296484849,1058.4272094124406,1278.9325686621796
2025-09-22,854.3133949716444,1061.276196198118,1381.9999696072587
2025-09-23,843.7888305327315,1027.671453995014,1277.3509270819357
2025-09-24,905.3949470076269,1097.3272615366018,1317.8726476550796
2025-09-26,920.8119680088105,1121.4325493589631,1380.7104118785765
2025-09-27,885.5576699593024,1073.2759173302343,1322.2016809223828
2025-09-29,864.5626959777514,1044.5900457775888,1275.5138373721404
2025-09-30,943.483792755654,1138.9465510038472,1398.3987930381236
2025-10-02,836.1151119392423,1150.7614886365727,1430.9597265263897
2025-10-03,814.9878423560871,1082.1658575099227,1394.3901278169071
2025-10-04,803.2185378945965,1065.339413096105,1367.054697943478
2025-10-06,786.1850632577201,1052.054860952072,1335.5041379342108
2025-10-07,769.5185066255111,1046.9064236424504,1295.3717039325375
2025-10-08,744.012210317073,1015.5972193034328,1256.434869304509
2025-10-09,760.3012937522527,1025.9585407010484,1270.1575697388314
2025-10-13,766.6648242386078,1113.2759338740082,1291.1942904052378
2025-10-14,746.8927093092326,1021.3980236585658,1258.1192990518593
2025-10-15,736.6912649647924,981.2880527695146,1233.247645819914
2025-10-16,753.2033596987508,1012.5633515202369,1270.9195254607707
2025-10-24,763.3440257435999,1025.5577719701846,1193.7642265739964
2025-10-27,875.9038112367738,1293.981338954611,1350.5206203168905
2025-10-28,956.9266089948095,1370.3101213369998,1489.6389032202221
2025-10-29,992.9512647202232,1369.8471228146811,1622.2927140680026
2025-10-30,1115.952000565256,1571.089680734442,1838.975846912818
2025-10-31,1238.804623150889,1621.3042130057368,2021.661746481815
2025-11-01,1089.2997483275224,1311.1793453722948,1733.1126850032579
2025-11-03,1121.9609624543039,1424.348283726863,1869.8948325341016
2025-11-05,1256.3089973834742,1511.628755187228,2009.8974254137197
2025-11-07,1287.4950087475945,1511.581069891396,1882.3003940089152
2025-11-08,1201.568898543428,1484.6741729879745,1846.2984680261288
2025-11-10,1127.3023663765637,1409.7880156427113,1767.908627922357
2025-11-12,1034.25680043629,1303.0343508969079,1652.6831865392057
2025-11-13,1117.8788174394879,1349.9985659869433,1696.6169738397818
2025-11-14,1079.0821056582095,1315.5766774661217,1672.0011455286772
2025-11-15,1080.173507046962,1304.9781579342414,1673.646676107461
2025-11-17,1008.8334918851936,1238.9944372446405,1557.1974470591151
2025-11-19,1083.9178449851684,1318.018257990066,1646.0620873435096
2025-11-20,943.2612193285723,1125.7792622528789,1456.6467155101905
2025-11-21,1013.386456146975,1169.416482765082,1568.9157126225596
2025-11-22,795.420322148047,948.2720088946925,1306.1485124004535
2025-11-24,1477.3825345063865,1683.0127603048054,2244.4988088153045
2025-11-26,1473.8501845595595,1756.7093389316137,2464.551312354418
2025-11-27,1408.0781529068104,1659.3292784411717,2244.784220001351
2025-11-28,1258.2558146138788,1499.4194185634458,1977.5710846863522
2025-12-01,2075.76543594148,2530.2466294121355,3384.8438870890272
2025-12-02,1608.7010579172922,2004.3814874300897,2685.9466034174775
2025-12-03,1923.831428485089,2362.216403823037,3144.5060763315005
2025-12-04,1723.792993730988,2188.4181583117797,2758.2299054399773
2025-12-05,1622.7844601024508,2137.849523304006,2520.257180750781
2025-12-06,1426.0060889700812,1860.068664461419,2222.2646152949587
2025-12-08,1523.240364803621,2016.002443855291,2548.0241299411155
2025-12-10,1559.420698189299,2152.5823012746687,2668.3309924395035
2025-12-12,1489.9780372529628,2070.5114957941296,2608.9479690860717
2025-12-13,1495.1615862272838,1937.5102688663046,2561.834280015922
2025-12-15,1510.2922417703146,1989.020178447189,2338.946794777072
2025-12-16,1684.3704548104765,2092.4628661455286,2541.914679992556
2025-12-17,1522.0758423026487,1935.5804057780563,2314.9673278201176
2025-12-18,1434.3705325629555,1843.0205224083693,2228.316616330842
2025-12-19,1415.0718353598754,1790.7809440365652,2103.3830746670483
