date,price,target_date,actual_future_price,p10,p50,p90
2025-01-28,2400.0,,2400.0,1926.2974763930636,2304.42246855345,2808.3390867363814
2025-01-29,2300.0,,2370.0,1810.7641308656266,2223.6832246816807,2647.491383157208
2025-01-30,2351.0,,2400.0,1888.5697987060512,2271.5305670606763,2755.026142528986
2025-01-31,2250.0,,2451.0,1782.754318108353,2181.4273046765534,2587.6695987141943
2025-02-01,2100.0,,2700.0,1558.6074410112808,1964.1055297375701,2464.0085843035167
2025-02-03,2100.0,,2900.0,1562.0289929483413,2004.494162887872,2469.472261776708
2025-02-04,2270.0,,3100.0,1694.6577573769014,2181.0081491428605,2682.452672180175
2025-02-05,2400.0,,3000.0,1809.2134069984288,2370.9746994791476,2796.3172636301774
2025-02-06,2370.0,,2700.0,1735.2755676780444,2213.389096472645,2761.9364889916947
2025-02-07,2400.0,,2600.0,1790.9695333175655,2212.196842756827,2814.201738168481
2025-02-08,2451.0,,2400.0,1829.0941735087636,2260.0374329168276,2897.218349646175
2025-02-12,2700.0,,2300.0,1942.419607053624,2508.723375631471,3179.5378404770827
2025-02-13,2900.0,,2325.0,2133.8331619772694,2709.837105660111,3392.0383039953144
2025-02-14,3100.0,,2400.0,2396.3563524196247,3032.80807447021,3609.1678826325897
2025-02-15,3000.0,,2400.0,2323.454063139347,3053.406308556763,3534.2389385311494
2025-02-17,2700.0,,2425.0,2039.897724837729,2699.942802640368,3164.8569449729885
2025-02-18,2600.0,,2400.0,2001.3494855860718,2606.434898899914,3016.181525134034
2025-02-19,2400.0,,2300.0,1860.7408972449384,2326.828919799828,2777.744972526042
2025-02-20,2300.0,,2270.0,1792.0468109957098,2185.121152659418,2662.471948136225
2025-02-21,2325.0,,2250.0,1743.0235288576123,2258.411814135399,2753.541828489544
2025-02-22,2400.0,,2200.0,1787.1725570514648,2260.259078270874,2891.100101663452
2025-02-24,2400.0,,2270.0,1814.7624516487901,2298.6838256090396,2819.4864698447805
2025-02-25,2425.0,,2280.0,1809.797698034428,2280.684593946758,2835.851652452173
2025-02-27,2400.0,,2250.0,1792.3761768152758,2227.578950985208,2807.1585109752805
2025-02-28,2300.0,,1950.0,1696.6053655529213,2267.9437390022827,2657.285892507541
2025-03-01,2270.0,,1700.0,1459.4856994570678,1598.5059372375476,2483.3492988731514
2025-03-03,2250.0,,1625.0,1451.711032897294,1578.4656224306536,2435.4774776829727
2025-03-04,2200.0,,1450.0,1393.4040510667683,1403.9784363558686,2333.266312577072
2025-03-05,2270.0,,1370.0,1450.4125515433436,1485.0867897544497,2451.0361251758063
2025-03-06,2280.0,,1525.0,1492.4601074674952,1486.37137866588,2442.387829340269
2025-03-07,2250.0,,1325.0,1531.6126352671608,1513.1922256397288,2430.166452205837
2025-03-08,1950.0,,1260.0,1308.056810941406,1225.875554784539,2157.0937826906797
2025-03-10,1700.0,,1225.0,1120.319629361561,1114.359392040055,1809.8215199569609
2025-03-11,1625.0,,1375.0,1092.687243652994,1228.1795181601058,1841.687364427924
2025-03-12,1450.0,,1400.0,918.2288800957979,1060.3099184304108,1668.8214260163945
2025-03-17,1370.0,,1370.0,829.3747671577621,949.0373906708911,1480.185748883618
2025-03-18,1525.0,,1325.0,932.1362955574733,982.739334296277,1631.2020867460353
2025-03-20,1325.0,,1060.0,811.3873477362854,832.5141164138248,1410.3180385341748
2025-03-21,1260.0,,1100.0,879.7600764641937,911.860963747652,1314.6576165348415
2025-03-22,1225.0,,1125.0,805.2758667486411,872.4497177055539,1265.594495423323
2025-03-24,1375.0,,1100.0,926.894260502774,1015.8446819457433,1474.6464887066056
2025-03-25,1400.0,,1030.0,950.5991156946611,918.0635691630773,1442.0640748926073
2025-03-26,1370.0,,1000.0,934.6540604133493,926.4484963000897,1430.307821049381
2025-03-27,1325.0,,900.0,919.5120506830556,904.2390679561632,1385.3855488721977
2025-04-02,1060.0,,700.0,943.6659801414115,1037.2629269193008,1234.832431177464
2025-04-03,1100.0,,1175.0,962.7922921196399,1121.5011350241264,1317.2006731090535
2025-04-04,1125.0,,1150.0,968.7347013225954,1083.9305644491908,1376.0838136590235
2025-04-07,1100.0,,1250.0,936.9096206001711,1071.599485037401,1332.880215128059
2025-04-08,1030.0,,1240.0,879.4359106778276,1069.9930590756271,1293.97804262791
2025-04-09,1000.0,,1250.0,857.8961192742314,1041.9528070760032,1247.8885016945815
2025-04-11,900.0,,1220.0,792.9861592351028,937.375500161185,1118.1998335139688
2025-04-12,700.0,,1270.0,613.1131199518103,742.5074756866635,931.087099627863
2025-04-14,1175.0,,1260.0,1018.2856357269591,1248.215810218985,1608.0597557282517
2025-04-15,1150.0,,1280.0,976.9218086863968,1180.609008505585,1551.482119665489
2025-04-16,1250.0,,1200.0,1126.7734545572307,1248.9689534436664,1605.793228387481
2025-04-17,1240.0,,1275.0,1034.5260213582792,1222.6363921603752,1628.6064407477345
2025-04-18,1250.0,,1250.0,1036.1872234633597,1263.705373931148,1632.4073762005037
2025-04-19,1220.0,,1200.0,993.0255029023983,1207.4358123332638,1682.1007663215778
2025-04-21,1270.0,,1200.0,1079.119525265642,1305.125816084793,1791.5193058773825
2025-04-22,1260.0,,1200.0,980.5949145272277,1310.7911757995616,1678.2892201754848
2025-04-23,1280.0,,1150.0,991.0235897258691,1319.6040871189184,1690.2390398110524
2025-04-24,1200.0,,1200.0,933.2539662039801,1182.6755261477306,1535.7459377311704
2025-04-25,1275.0,,1180.0,1034.2510761084927,1247.5217096898405,1556.6530015488106
2025-04-26,1250.0,,1100.0,1023.5165339748269,1205.7316951190503,1508.8279641765525
2025-04-28,1200.0,,1100.0,967.2180421566871,1172.6574988461077,1461.6304529463184
2025-04-29,1200.0,,1070.0,955.6049631753717,1194.9544486845048,1434.3578032189382
2025-04-30,1200.0,,1125.0,946.2750984639675,1197.2505403162086,1409.0526580950832
2025-05-02,1150.0,,1151.0,1048.5499063628681,1160.1971174779965,1367.2020383324564
2025-05-03,1200.0,,1150.0,1088.7635920611126,1210.0461668880014,1420.828128818808
2025-05-05,1180.0,,1100.0,1070.3844191677347,1189.7977478203647,1390.118804213087
2025-05-06,1100.0,,1170.0,1003.523060817599,1088.52623896776,1343.9569231569924
2025-05-07,1100.0,,1200.0,1012.1405802769305,1104.726044625823,1315.6860800233612
2025-05-08,1070.0,,1150.0,969.6238441945002,1086.392131043644,1287.9374989835326
2025-05-09,1125.0,,1150.0,1031.5298952772916,1153.6074287677231,1389.7806871780992
2025-05-10,1151.0,,1160.0,1046.7938946140694,1182.4204462698217,1410.2776350369525
2025-05-12,1150.0,,1175.0,1050.9717053901636,1190.2516639036844,1398.0745126862362
2025-05-15,1100.0,,1150.0,1022.9184128929751,1129.15192021255,1334.9639348892522
2025-05-16,1170.0,,1200.0,1089.1975970921021,1197.3522973980978,1466.8857405355168
2025-05-17,1200.0,,1200.0,1128.3631573575233,1227.2390099565237,1458.4341684833203
2025-05-19,1150.0,,1351.0,1058.8361540477267,1190.7300936046165,1407.1720079950094
2025-05-20,1150.0,,1375.0,1070.7722833789867,1186.773996249754,1440.4203272970626
2025-05-21,1160.0,,1400.0,1079.039471592439,1194.2308862696277,1462.3281917845122
2025-05-22,1175.0,,1400.0,1079.676117244228,1135.3953975916886,1483.8132128054647
2025-05-23,1150.0,,1380.0,1064.343628936412,1108.2189849496801,1464.657342333441
2025-05-24,1200.0,,1350.0,1071.207142248266,1144.9633212293515,1304.3411511124125
2025-05-26,1200.0,,1400.0,1045.2260374556047,1150.6725447301449,1302.5207790482802
2025-05-27,1351.0,,1420.0,1202.1882653523307,1311.7592081856774,1474.4181702054796
2025-05-28,1375.0,,1451.0000000000002,1273.9427996463073,1368.295142074692,1631.6128613143
2025-05-29,1400.0,,1475.0,1304.053179652151,1423.5260833400157,1653.4315440338721
2025-05-30,1400.0,,1450.0000000000002,1307.5121191681844,1423.3054014084928,1659.4980315205028
2025-05-31,1380.0,,1600.0,1290.7240459411803,1400.4319741622915,1638.4544478984228
2025-06-02,1350.0,,1600.0,1236.280608638147,1360.9636855981491,1546.5985093923355
2025-06-03,1400.0,,1620.0000000000002,1299.7546760280131,1390.6311767520594,1660.3916373460945
2025-06-04,1420.0,,1600.0,1275.5515286482691,1395.4828200195782,1649.9615441337264
2025-06-05,1451.0,,1600.0000000000002,1309.4508503672737,1493.1249321604619,1684.9320714628243
2025-06-06,1475.0,,1601.0,1370.7346504954212,1550.8896440300603,1855.7899465547353
2025-06-07,1450.0,,1600.0,1351.6289109498791,1524.5174127758935,1759.9902393908233
2025-06-09,1600.0,,1620.0,1465.4054886909887,1672.297855142061,1931.2156878628678
2025-06-10,1600.0,,1540.0,1483.1652529290077,1651.9702880908167,2052.39892843823
2025-06-11,1620.0,,1600.0,1506.377032181158,1674.8878130148348,2057.9888857803203
2025-06-12,1600.0,,1551.0,1489.522888755159,1606.350114539962,1935.6951011432302
2025-06-13,1600.0,,1580.0,1493.1792840630617,1611.248073189599,1963.474970763562
2025-06-14,1601.0,,1600.0,1494.555685522459,1619.6940283073013,1965.4520470133511
2025-06-16,1600.0,,1651.0000000000002,1446.8252372874765,1617.563356159718,1952.1146910154187
2025-06-17,1620.0,,1570.0,1451.700435132251,1605.5459512712687,1858.6762087907268
2025-06-18,1540.0,,1570.0,1385.0176042933044,1532.0462759766838,1765.726230562728
2025-06-19,1600.0,,1500.0,1465.9396168360834,1586.9105912980067,1832.7799679306409
2025-06-20,1551.0,,1551.0,1412.0771731600983,1551.793087103707,1804.5061345946053
2025-06-21,1580.0,,1550.0,1435.6585995917276,1579.714378547273,1978.3852554243604
2025-06-23,1600.0,,1525.0,1423.3069072794628,1596.2002335143313,2012.5467503886139
2025-06-24,1651.0,,1500.0,1493.3461637529879,1639.7179831161295,2074.19531502258
2025-06-25,1570.0,,1500.0,1428.8227186217152,1594.0428323291248,1885.4485173624407
2025-06-26,1570.0,,1510.0,1437.7684651878249,1619.8935034834503,1938.3519938178797
2025-06-27,1500.0,,1551.0,1394.1330103421044,1564.346368882485,1902.4655223116313
2025-06-28,1551.0,,1500.0,1441.0744733743988,1656.2133645939384,1937.7376822935137
2025-06-30,1550.0,,1480.0,1406.0571099844778,1641.5453271058914,1911.839612051761
2025-07-01,1525.0,,1500.0,1393.692693674428,1556.4532056105293,1847.7447817546515
2025-07-02,1500.0,,1475.0,1370.056665972946,1502.0888948921215,1753.0506880299479
2025-07-03,1500.0,,1551.0,1384.4489901394677,1495.0306138839767,1868.1282463857967
2025-07-04,1510.0,,1451.0,1394.3640293602994,1512.6237474848926,1820.597243923112
2025-07-05,1551.0,,1451.0,1432.224244727036,1538.6137413281401,1769.6497264793043
2025-07-07,1500.0,,1460.0,1350.7097299604304,1495.1695436762323,1737.357621054862
2025-07-08,1480.0,,1500.0000000000002,1360.9278187804855,1480.0130691257664,1728.0749904976078
2025-07-09,1500.0,,1400.0,1341.196034916007,1503.4506941615102,1718.9648352687989
2025-07-10,1475.0,,1400.0,1320.1847590942114,1477.1401079529505,1561.4253963412502
2025-07-11,1551.0,,1351.0,1431.3162166046875,1565.400223776946,1626.3447534035158
2025-07-12,1451.0,,1425.0,1327.1363046642266,1432.141556233386,1793.9641786750005
2025-07-14,1451.0,,1451.0,1312.6531458281129,1481.178962470765,1736.033985014241
2025-07-15,1460.0,,1400.0,1334.240644744145,1487.2258660256903,1963.32525373358
2025-07-16,1500.0,,1425.0,1379.5937394319537,1530.8877729336043,2015.4476234235028
2025-07-17,1400.0,,1350.0,1294.7422903852105,1428.6872475603352,1879.9385693955164
2025-07-18,1400.0,,1275.0,1288.0095210042518,1425.6900340623715,1795.4805781744587
2025-07-19,1351.0,,1301.0,1237.716955098167,1373.3045719171805,1763.5712167093707
2025-07-21,1425.0,,1320.0,1281.4520389817305,1451.6200875459672,1787.0838474892237
2025-07-22,1451.0,,1280.0,1324.4589509742063,1477.6632072592467,1747.8493773312316
2025-07-23,1400.0,,1310.0,1278.9855446202328,1425.5977343324912,1748.5582433616514
2025-07-24,1425.0,,1330.0,1302.655911021774,1413.2740505031297,1671.6943594085624
2025-07-25,1350.0,,1275.0,1235.685918646987,1338.5031133548123,1597.6694380564184
2025-07-28,1275.0,,1270.0,1142.270629877617,1258.6235974924605,1510.0563568972066
2025-07-29,1301.0,,1325.0,1183.6729584191694,1288.8600963907038,1558.6984050983174
2025-07-30,1320.0,,1340.0,1204.5569417105703,1283.351389750793,1637.5325387838689
2025-07-31,1280.0,,1351.0,1164.6335322686996,1237.3769066194338,1586.2614763836486
2025-08-01,1310.0,,1525.0000000000002,1205.8763816210933,1331.3261110137046,1671.1211625884896
2025-08-02,1330.0,,1701.0,1223.221766510549,1342.1961882625926,1700.2944858041146
2025-08-04,1275.0,,1600.0,1150.4542682727247,1298.941593145329,1571.071235542195
2025-08-05,1270.0,,1575.0,1141.8992480974425,1301.7940079819932,1565.5995336255876
2025-08-06,1325.0,,1650.0,1213.5254969723171,1358.6267398100458,1648.8988497212347
2025-08-07,1340.0,,1640.0,1224.0051376123886,1354.1961341513797,1672.514602292993
2025-08-11,1351.0,,1551.0,1217.2838120322267,1373.596942406562,1747.0893201153938
2025-08-12,1525.0,,1500.0,1393.5311734108259,1544.6370252639488,1970.8106901974395
2025-08-13,1701.0,,1400.0,1574.3336320587186,1746.7207765398052,2189.3843426187914
2025-08-14,1600.0,,1340.0,1490.2698124352746,1737.4264063473793,2160.5541549341347
2025-08-16,1575.0,,1340.0,1457.3743343205178,1739.9637699937623,2213.9476475583383
2025-08-18,1650.0,,1360.0,1497.8145128683432,1839.4565491284368,2297.0137295948393
2025-08-19,1640.0,,1310.0,1517.0323373382869,1841.0016487609296,2113.042818484246
2025-08-25,1551.0,,1325.0,1405.8559265496858,1736.0445254990739,2021.2943146955063
2025-08-26,1500.0,,1280.0,1388.4330623916399,1663.8928016541242,1939.4588879990956
2025-08-28,1400.0,,1275.0,1280.1673666582772,1582.7149291609587,1819.1241031241207
2025-08-30,1340.0,,1320.0,1266.945168324282,1485.01951386356,1713.4675238528678
2025-09-01,1340.0,,1251.0,1215.5432763937463,1538.3536355013498,1748.4544446829614
2025-09-02,1360.0,,1200.0,1234.8280661658052,1575.9326863077667,1887.0020610465788
2025-09-03,1310.0,,801.0000000000001,1226.2574720360246,1495.4294305728292,1828.6538125793734
2025-09-04,1325.0,,1270.0,1257.5817303884867,1492.0390854352124,1791.2315856249586
2025-09-06,1280.0,,1170.0,1172.9113598190772,1445.8533559847801,1718.5127974909685
2025-09-08,1275.0,,1250.0,1149.0679196926696,1429.54717742045,1702.6269889402952
2025-09-09,1320.0,,1175.0,1202.841485252761,1484.5955433725671,1781.2305817667443
2025-09-10,1251.0,,1100.0,1142.049204749025,1381.7945062369772,1748.2967658613627
2025-09-11,1200.0,,1100.0,1096.2078620310854,1323.0345154523695,1599.3180900265334
2025-09-13,801.0,,1100.0,732.9113560067733,880.002697985867,1067.1335944917982
2025-09-15,1270.0,,1080.0,1150.2269860741617,1372.5552799708437,1695.9393929409814
2025-09-16,1170.0,,1150.0,1031.7747870174048,1287.7401755855542,1589.4000435946723
2025-09-17,1250.0,,1170.0,1107.5779366694667,1384.7496496784554,1672.749868381094
2025-09-18,1175.0,,1125.0,1050.4301728603375,1302.870078800274,1592.886569380764
2025-09-19,1100.0,,1100.0,995.4838375175461,1217.8715809943672,1487.0125597251802
2025-09-20,1100.0,,1200.0,996.2511604469508,1217.7202744361382,1471.4116423378478
2025-09-22,1100.0,,1200.0,982.8873752752864,1220.9980331139839,1589.990664728942
2025-09-23,1080.0,,1200.0,970.7788661752716,1182.335784511517,1469.591964043463
2025-09-24,1150.0,,1180.0,1041.6566897928253,1262.4747759521276,1516.2121947576236
